"Ano";"Órgão Superior";"Órgão";"Unidade Gestora";"Categoria";"Origem";"Espécie";"Detalhamento";"Orçamento Atualizado (Valor Previsto)";"Receita Realizada (Valor Arrecadado)";"% Previsto/Realizado";"Valor Lançado";
"2021";"26000 - Ministério da Educação";"26298 - Fundo Nacional de Desenvolvimento da Educação";"153173 - FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO";"2 - Receitas de Capital";"21 - Operações de Crédito";"211 - Operações de crédito - mercado interno";"21110011 - TITULOS DE RESPONS.TES.NAC.-MERC.INT.-PRINC.";"14.968.893.347,00";"0,00";"0,00%";"0,00";
"2021";"53000 - Ministério da Integração e do Desenvolvimento Regional";"53901 - Fundo Constitucional de Financiamento do Norte";"537002 - FUNDO CONSTITUCIONAL FINANCIAMENTO NORTE";"1 - Receitas Correntes";"11 - Impostos, Taxas e Contribuições de Melhoria";"111 - Impostos";"11140131 - IPI-AUTOMOVEIS-PRINCIPAL";"25.404.416,00";"0,00";"0,00%";"0,00";
"2021";"41000 - Ministério das Comunicações";"41231 - Agêncial Nacional de Telecomunicações";"413001 - AGENCIA NACIONAL DE TELECOMUNICACOES-SEDE";"1 - Receitas Correntes";"13 - Receita Patrimonial";"133 - Delegação de Serviços Públicos Mediante Concessão, Permissão, Autorização ou Licença";"13334911 - OUTRAS.DLG.SV.TELEC-NAO.P.ORBITAIS/PRC";"5.472.748,00";"0,00";"0,00%";"0,00";
"2021";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170013 - SETORIAL ORCAMENTARIA E FINANCEIRA-MF";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"199 - Demais receitas correntes";"19900411 - CONTRIBUICAO AO MONTEPIO CIVIL-PRINCIPAL";"131.564,00";"0,00";"0,00%";"0,00";
"2021";"26000 - Ministério da Educação";"26252 - Universidade Federal de Campina Grande";"158195 - UNIVERSIDADE FEDERAL DE CAMPINA GRANDE";"2 - Receitas de Capital";"21 - Operações de Crédito";"211 - Operações de crédito - mercado interno";"21110011 - TITULOS DE RESPONS.TES.NAC.-MERC.INT.-PRINC.";"334.572.063,00";"0,00";"0,00%";"0,00";
"2021";"26000 - Ministério da Educação";"26266 - Fundação Universidade Federal do Pampa";"154359 - FUNDACAO UNIVERSIDADE FEDERAL DO PAMPA";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"192 - Indenizações, restituições e ressarcimentos";"19229911 - OUTRAS RESTITUICOES-PRINCIPAL";"0,00";"800,00";"0,00%";"0,00";
"2021";"41000 - Ministério das Comunicações";"41231 - Agêncial Nacional de Telecomunicações";"413001 - AGENCIA NACIONAL DE TELECOMUNICACOES-SEDE";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"191 - Multas administrativas, contratuais e judiciais";"19100213 - MLT.LEI.GER.TELECOM-NAO.P.ORBITAIS/DA.PRC";"2.753.622,00";"0,00";"0,00%";"0,00";
"2021";"53000 - Ministério da Integração e do Desenvolvimento Regional";"53902 - Fundo Constitucional de Financiamento do Centro-Oeste";"537003 - FUNDO CONSTITUCIONL DO CENTRO OESTE";"1 - Receitas Correntes";"11 - Impostos, Taxas e Contribuições de Melhoria";"111 - Impostos";"11130211 - IRPJ-LIQUIDA DE INCENTIVOS-PRINCIPAL";"836.508.954,00";"0,00";"0,00%";"0,00";
"2021";"52000 - Ministério da Defesa";"52911 - Fundo Aeronáutico";"121002 - SECRETARIA DE ECON. E FIN.DA AER.- F.AER.";"2 - Receitas de Capital";"21 - Operações de Crédito";"211 - Operações de crédito - mercado interno";"21110011 - TITULOS DE RESPONS.TES.NAC.-MERC.INT.-PRINC.";"198.901.873,00";"0,00";"0,00%";"0,00";
"2021";"26000 - Ministério da Educação";"26414 - Instituto Federal do Mato Grosso";"158144 - INST.FED.DE EDUC.,CIENC.E TEC.DO MATO GROSSO";"7 - Receitas Correntes - intra-orçamentárias";"76 - Receita de Serviços";"761 - Serviços Administrativos e Comerciais Gerais";"76100111 - SERV.ADMIN.E COMERCIAIS GERAIS-PRINC.-INTRA";"0,00";"70,00";"0,00%";"0,00";
