"Ano";"Órgão Superior";"Órgão";"Unidade Gestora";"Categoria";"Origem";"Espécie";"Detalhamento";"Orçamento Atualizado (Valor Previsto)";"Receita Realizada (Valor Arrecadado)";"% Previsto/Realizado";"Valor Lançado";
"2023";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170013 - SETORIAL ORCAMENTARIA E FINANCEIRA-MF";"1 - Receitas Correntes";"12 - Contribuições";"121 - Contribuições sociais";"12190513 - CONTRIBUICAO PARA O ENSINO AEROVIARIO-DIV.AT.";"271.088,00";"0,00";"0,00%";"0,00";
"2023";"26000 - Ministério da Educação";"26283 - Fundação Universidade Federal do Mato Grosso do Sul";"154054 - FUNDACAO UNIVERS.FED. DE MATO GROSSO DO SUL";"1 - Receitas Correntes";"14 - Receita Agropecuária";"141 - Receita da produção vegetal";"14110101 - RECEITA AGROPECUARIA-PRINCIPAL";"4.500,00";"0,00";"0,00%";"0,00";
"2023";"26000 - Ministério da Educação";"26422 - Instituto Federal Catarinense";"158125 - INSTITUTO FEDERAL CATARINENSE - REITORIA";"1 - Receitas Correntes";"18 - Receitas Correntes - a classificar";"180 - Receitas Correntes - a classificar";"18000000 - Receitas Correntes - a classificar";"0,00";"0,00";"0,00%";"0,00";
"2023";"53000 - Ministério da Integração e do Desenvolvimento Regional";"53903 - Fundo Constitucional de Financiamento do Nordeste";"537001 - FUNDO CONSTITUCIONAL DE FINANCIAM.DO NORDESTE";"1 - Receitas Correntes";"11 - Impostos, Taxas e Contribuições de Melhoria";"111 - Impostos";"11140157 - IPI-OUTROS PRODUTOS-MULTAS DA DIVIDA ATIVA";"1.716.774,00";"0,00";"0,00%";"0,00";
"2023";"68000 - Ministério de Portos e Aeroportos";"62901 - Fundo Nacional de Aviação Civil";"110591 - FUNDO NACIONAL DE AVIACAO CIVIL";"1 - Receitas Correntes";"16 - Receita de Serviços";"162 - Serviços e Atividades Referentes à Navegação e ao Transporte";"16210421 - ADICIONAL SOBRE TARIFA AEROPORTUARIA-PRINC.";"0,00";"104,02";"0,00%";"0,00";
"2023";"24000 - Ministério da Ciência, Tecnologia e Inovação";"24901 - Fundo Nacional de Desenvolvimento Científico e Tecnológico";"240901 - FUNDO NAC.DE DESENV. CIENT. E TECNOLOGICO";"1 - Receitas Correntes";"12 - Contribuições";"122 - Contribuições econômicas";"12210502 - COTA-PARTE DO AFRMM-MULTAS E JUROS";"0,00";"0,18";"0,00%";"0,00";
"2023";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170013 - SETORIAL ORCAMENTARIA E FINANCEIRA-MF";"1 - Receitas Correntes";"11 - Impostos, Taxas e Contribuições de Melhoria";"111 - Impostos";"11120117 - ITR-MUNICIPIOS CONVENIADOS-DIV.AT.-MULTAS";"11.800.588,00";"0,00";"0,00%";"0,00";
"2023";"40000 - Ministério do Trabalho e Emprego";"40000 - Ministério do Trabalho e Emprego - Unidades com vínculo direto";"400042 - COORD-GERAL DE ORC., FIN.-CGOF(MTE)";"1 - Receitas Correntes";"12 - Contribuições";"121 - Contribuições sociais";"12190321 - CONTR.S/REMUN.DEVIDA AO TRABALHADOR-PRINCIPAL";"0,00";"102.317.620,00";"0,00%";"0,00";
"2023";"39000 - Ministério dos Transportes";"39000 - Ministério dos Transportes - Unidades com vínculo direto";"390002 - SUBSECRETARIA DE PLAN.,ORCAM.E ADMIN.SETORIAL";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"193 - Bens, Direitos e Valores Incorporados ao Patrimônio Público";"19310502 - REC.POR FORCA DEC.JUD.E DE TRIB.ADM.-MUL.JUR.";"0,00";"7,04";"0,00%";"0,00";
"2023";"56000 - Ministério das Cidades";"29205 - Empresa de Trens Urbanos de Porto Alegre";"275060 - EMPRESA DE TRENS URBANOS DE PORTO ALEGRE S/A";"1 - Receitas Correntes";"16 - Receita de Serviços";"161 - Serviços Administrativos e Comerciais Gerais";"16110101 - SERV.ADMINISTRAT.E COMERCIAIS GERAIS-PRINC.";"0,00";"10,20";"0,00%";"0,00";
