"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"10/2023";"Sem informação";"-3";"2.772.011,64";"2.396.736,89";"216.393,43";"0,00";
"11/2023";"Sem informação";"-3";"517.818.855,73";"402.057.881,80";"63.881.008,80";"0,00";
"12/2023";"Sem informação";"-3";"306.314.933,01";"405.932.123,74";"475.986.116,37";"0,00";
"10/2023";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"1.191.720,24";"328.766.281,70";"373.346.836,10";"615.214,22";
"02/2023";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"35.495.318,56";"302.792.418,50";"294.335.303,00";"10.264.924,25";
"03/2023";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"29.334.432,77";"311.396.457,01";"323.154.270,19";"4.590.031,07";
"04/2023";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"313.083.005,33";"314.669.145,38";"300.251.228,45";"4.329.834,15";
"05/2023";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"9.869.988,25";"340.137.876,45";"298.181.469,50";"2.588.806,08";
"06/2023";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"8.678.594,14";"409.787.217,74";"369.892.569,75";"594.381,18";
"07/2023";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"158.321.476,08";"331.591.044,70";"408.303.674,06";"840.460,29";
"08/2023";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"- 1.231.182,37";"326.960.650,91";"324.860.278,83";"25.171.561,55";
"09/2023";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"- 72.285.562,46";"326.427.864,29";"297.334.058,18";"769.817,79";
"11/2023";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"86.548.167,40";"487.404.826,07";"422.208.958,71";"423.574,16";
"12/2023";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"139.935.335,44";"400.651.917,75";"404.218.300,49";"5.843.858,53";
"01/2023";"63000 - Advocacia-Geral da União";"63000 - Advocacia-Geral da União - Unidades com vínculo direto";"3.710.251.858,91";"285.598.924,53";"96.008.218,60";"260.167.823,14";
"01/2023";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"13.128.596,67";"1.378.711,16";"398.602,56";"2.876.383,11";
"02/2023";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"9.463.461,58";"2.344.816,91";"2.129.466,43";"315.894,26";
"03/2023";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"1.886.444,56";"2.520.845,15";"2.662.875,76";"401.468,81";
"04/2023";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"2.082.774,28";"1.380.666,52";"1.390.591,36";"1.888.427,29";
"05/2023";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"317.208,33";"1.790.319,23";"1.612.375,92";"2.025.612,11";
"06/2023";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"1.543.315,39";"3.073.139,46";"2.710.425,69";"747.610,95";
"07/2023";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"2.388.358,52";"3.230.363,96";"3.526.947,45";"1.222.662,71";
"08/2023";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"1.088.646,28";"2.869.612,53";"2.931.267,82";"125.400,28";
"09/2023";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"1.835.918,24";"2.602.571,53";"2.546.870,22";"320.555,83";
"10/2023";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"309.326,69";"3.558.586,79";"3.603.003,94";"148.858,49";
"11/2023";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"2.221.830,61";"3.442.081,95";"2.901.136,82";"666.531,48";
"12/2023";"24000 - Ministério da Ciência, Tecnologia e Inovação";"20402 - Agência Espacial Brasileira";"2.357.405,06";"2.597.882,51";"3.061.821,83";"1.468.820,72";
"09/2023";"68000 - Ministério de Portos e Aeroportos";"62201 - Agência Nacional de Aviação Civil";"2.700.410,92";"40.620.530,97";"40.906.918,04";"133.848,01";
"02/2023";"68000 - Ministério de Portos e Aeroportos";"62201 - Agência Nacional de Aviação Civil";"- 34.634.594,31";"33.917.107,22";"35.240.546,59";"3.621.053,13";
"03/2023";"68000 - Ministério de Portos e Aeroportos";"62201 - Agência Nacional de Aviação Civil";"1.439.990,56";"40.572.568,83";"38.595.731,41";"422.944,11";
"04/2023";"68000 - Ministério de Portos e Aeroportos";"62201 - Agência Nacional de Aviação Civil";"55.262.509,09";"38.379.229,47";"38.230.639,81";"231.089,41";
"05/2023";"68000 - Ministério de Portos e Aeroportos";"62201 - Agência Nacional de Aviação Civil";"12.378.459,66";"40.067.691,12";"39.690.890,67";"390.666,78";
"06/2023";"68000 - Ministério de Portos e Aeroportos";"62201 - Agência Nacional de Aviação Civil";"7.808.330,90";"49.004.816,59";"36.773.844,21";"3.710.377,11";
"10/2023";"68000 - Ministério de Portos e Aeroportos";"62201 - Agência Nacional de Aviação Civil";"6.203.474,12";"45.314.684,69";"43.416.163,22";"286.207,29";
"11/2023";"68000 - Ministério de Portos e Aeroportos";"62201 - Agência Nacional de Aviação Civil";"3.915.876,71";"62.934.907,86";"52.459.077,38";"27.664,08";
"12/2023";"68000 - Ministério de Portos e Aeroportos";"62201 - Agência Nacional de Aviação Civil";"12.723.755,72";"50.570.168,60";"57.358.317,66";"171.510,06";
"01/2023";"68000 - Ministério de Portos e Aeroportos";"62201 - Agência Nacional de Aviação Civil";"360.083.726,37";"34.060.433,95";"11.105.278,89";"29.649.120,53";
"07/2023";"68000 - Ministério de Portos e Aeroportos";"62201 - Agência Nacional de Aviação Civil";"120.147.619,91";"42.671.789,24";"48.880.556,57";"28.422,43";
"08/2023";"68000 - Ministério de Portos e Aeroportos";"62201 - Agência Nacional de Aviação Civil";"- 446.974,09";"43.414.000,49";"43.225.141,32";"494.510,65";
"02/2023";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"1.711.650.819,94";"367.933.825,03";"368.125.905,67";"6.241.452,81";
"03/2023";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"325.970,70";"571.307.041,71";"571.252.690,61";"5.352.624,72";
"04/2023";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"66.808.158,56";"305.024.718,38";"303.490.018,15";"3.039.432,41";
"05/2023";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"13.594.057,99";"653.844.507,10";"651.728.523,39";"2.837.765,46";
"08/2023";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"10.959.477,57";"241.306.095,03";"241.518.970,98";"1.181.130,07";
"01/2023";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"2.760.324.869,77";"66.093.873,56";"55.509.930,86";"190.849.299,64";
"06/2023";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"11.585.280,92";"253.950.780,89";"247.963.161,50";"930.552,62";
"07/2023";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"11.012.413,34";"572.092.668,69";"575.577.982,43";"118.456,79";
"09/2023";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"204.739.324,17";"485.761.802,24";"486.074.171,44";"1.167.034,23";
"10/2023";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"5.161.968,66";"383.956.504,55";"383.548.602,02";"20.160,00";
"11/2023";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"5.947.327,26";"378.560.076,03";"369.845.112,91";"65.520,00";
"12/2023";"32000 - Ministério de Minas e Energia";"32210 - Agência Nacional de Energia Elétrica";"545.596.878,90";"783.411.259,97";"785.135.043,16";"340.017,46";
"01/2023";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"8.497.383.360,75";"167.265.150,82";"151.921.777,61";"150.992.699,78";
"02/2023";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"16.540.942,04";"180.343.471,01";"180.213.486,84";"117.593.111,52";
"03/2023";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"- 7.070.615,50";"642.696.516,91";"641.866.345,99";"123.856.731,62";
"04/2023";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"46.705.334,26";"386.687.049,60";"387.004.523,77";"76.196.243,04";
"05/2023";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"9.721.291,07";"462.597.698,92";"458.718.578,69";"88.046.122,70";
"06/2023";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"4.530.888,44";"34.642.188,89";"28.930.909,83";"67.916,31";
"07/2023";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"2.914.823,99";"401.124.169,81";"407.876.777,37";"93.262.025,26";
"08/2023";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"2.053.986,89";"389.724.483,44";"389.739.170,80";"90.302.178,87";
"09/2023";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"- 11.565.704,09";"30.755.969,86";"26.439.777,31";"1.723.369,66";
"10/2023";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"54.772.713,32";"1.097.011.748,94";"1.097.717.479,08";"265.185.704,86";
"11/2023";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"5.479.502,75";"398.714.498,35";"391.028.275,85";"89.456.120,97";
"12/2023";"32000 - Ministério de Minas e Energia";"32396 - Agência Nacional de Mineração";"- 2.800.251.334,87";"950.037.592,82";"952.580.027,85";"28.429.580,58";
"01/2023";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"198.680.853,43";"15.271.675,08";"5.750.470,82";"14.650.299,40";
"03/2023";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"734.725,22";"22.359.771,01";"21.858.878,90";"673.352,58";
"04/2023";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"4.704.113,86";"20.690.573,23";"21.670.647,49";"15.183,56";
"05/2023";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"10.712.904,33";"25.790.809,23";"21.560.681,43";"23.081,22";
"06/2023";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"8.241.410,07";"29.717.157,50";"24.707.872,17";"844.164,03";
"07/2023";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"9.882.025,78";"25.654.081,49";"27.015.444,61";"1.450,00";
"08/2023";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"8.821.221,22";"23.150.601,42";"22.853.802,03";"83.183,45";
"09/2023";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"7.590.285,89";"24.417.609,68";"24.833.436,14";"3.406,11";
"10/2023";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"7.673.890,18";"23.148.511,66";"24.810.289,66";"18.632,45";
"02/2023";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"16.521.487,61";"18.136.066,60";"17.704.015,65";"4.276.268,70";
"11/2023";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"26.087.564,87";"33.379.122,36";"28.761.920,49";"0,00";
"12/2023";"36000 - Ministério da Saúde";"36213 - Agência Nacional de Saúde Suplementar";"14.286.723,63";"31.373.668,40";"30.749.110,58";"0,00";
"01/2023";"68000 - Ministério de Portos e Aeroportos";"68201 - Agência Nacional de Transportes Aquaviários";"36.805.030,00";"9.185.717,84";"3.013.484,61";"10.303.447,17";
"02/2023";"68000 - Ministério de Portos e Aeroportos";"68201 - Agência Nacional de Transportes Aquaviários";"81.829.012,60";"10.715.731,70";"10.631.828,27";"1.128.179,96";
"03/2023";"68000 - Ministério de Portos e Aeroportos";"68201 - Agência Nacional de Transportes Aquaviários";"1.949.993,29";"12.207.125,26";"11.049.496,92";"1.618.280,21";
"04/2023";"68000 - Ministério de Portos e Aeroportos";"68201 - Agência Nacional de Transportes Aquaviários";"13.263.884,44";"11.436.233,81";"12.363.491,21";"457.393,92";
"06/2023";"68000 - Ministério de Portos e Aeroportos";"68201 - Agência Nacional de Transportes Aquaviários";"3.113.446,83";"13.938.678,15";"12.139.672,23";"572.999,14";
"07/2023";"68000 - Ministério de Portos e Aeroportos";"68201 - Agência Nacional de Transportes Aquaviários";"759.876,57";"13.075.360,16";"15.262.430,55";"301.105,10";
"08/2023";"68000 - Ministério de Portos e Aeroportos";"68201 - Agência Nacional de Transportes Aquaviários";"2.520.684,43";"12.384.659,18";"12.218.084,54";"563.584,76";
"10/2023";"68000 - Ministério de Portos e Aeroportos";"68201 - Agência Nacional de Transportes Aquaviários";"2.802.841,88";"12.723.891,73";"12.640.725,98";"50.259,01";
"11/2023";"68000 - Ministério de Portos e Aeroportos";"68201 - Agência Nacional de Transportes Aquaviários";"470.880,27";"20.536.166,11";"16.531.622,02";"85.377,50";
"05/2023";"68000 - Ministério de Portos e Aeroportos";"68201 - Agência Nacional de Transportes Aquaviários";"15.597.977,07";"13.318.303,92";"11.451.863,05";"29.523,46";
"12/2023";"68000 - Ministério de Portos e Aeroportos";"68201 - Agência Nacional de Transportes Aquaviários";"12.901.298,64";"24.930.480,19";"25.674.598,92";"308.123,92";
"09/2023";"68000 - Ministério de Portos e Aeroportos";"68201 - Agência Nacional de Transportes Aquaviários";"2.568.171,64";"13.089.841,44";"13.264.741,01";"60.252,34";
"03/2023";"39000 - Ministério dos Transportes";"39250 - Agência Nacional de Transportes Terrestres";"4.329.385,99";"43.410.054,05";"33.805.620,50";"8.369.076,58";
"04/2023";"39000 - Ministério dos Transportes";"39250 - Agência Nacional de Transportes Terrestres";"158.468.512,58";"32.827.013,90";"39.415.577,68";"7.278.842,77";
"05/2023";"39000 - Ministério dos Transportes";"39250 - Agência Nacional de Transportes Terrestres";"61.210.031,83";"46.311.175,86";"38.856.817,68";"6.423.053,49";
"06/2023";"39000 - Ministério dos Transportes";"39250 - Agência Nacional de Transportes Terrestres";"21.562.644,00";"49.262.748,01";"44.799.178,19";"15.468.881,81";
"07/2023";"39000 - Ministério dos Transportes";"39250 - Agência Nacional de Transportes Terrestres";"7.414.654,94";"43.314.980,67";"48.691.736,13";"943.717,05";
"08/2023";"39000 - Ministério dos Transportes";"39250 - Agência Nacional de Transportes Terrestres";"3.776.178,64";"47.928.364,18";"51.203.267,31";"482.087,56";
"09/2023";"39000 - Ministério dos Transportes";"39250 - Agência Nacional de Transportes Terrestres";"- 2.520.876,62";"42.677.962,06";"43.736.942,51";"1.265.568,85";
"10/2023";"39000 - Ministério dos Transportes";"39250 - Agência Nacional de Transportes Terrestres";"3.733.519,16";"44.177.291,22";"40.301.521,73";"82.615,98";
"11/2023";"39000 - Ministério dos Transportes";"39250 - Agência Nacional de Transportes Terrestres";"18.865.115,50";"59.575.756,99";"50.548.986,42";"652.228,01";
"12/2023";"39000 - Ministério dos Transportes";"39250 - Agência Nacional de Transportes Terrestres";"6.636.447,27";"60.424.809,05";"65.113.486,19";"589.719,40";
"02/2023";"39000 - Ministério dos Transportes";"39250 - Agência Nacional de Transportes Terrestres";"29.994.565,33";"25.208.412,81";"25.659.314,66";"12.124.285,42";
"01/2023";"39000 - Ministério dos Transportes";"39250 - Agência Nacional de Transportes Terrestres";"285.063.138,90";"21.614.038,62";"7.387.438,06";"34.254.330,74";
"01/2023";"36000 - Ministério da Saúde";"36212 - Agência Nacional de Vigilância Sanitária";"139.928.603,02";"50.037.308,68";"16.304.739,52";"50.525.996,06";
"02/2023";"36000 - Ministério da Saúde";"36212 - Agência Nacional de Vigilância Sanitária";"26.973.953,47";"53.304.618,20";"52.950.628,95";"2.507.993,70";
"03/2023";"36000 - Ministério da Saúde";"36212 - Agência Nacional de Vigilância Sanitária";"59.147.370,30";"56.639.560,77";"57.310.260,15";"3.858.083,11";
"04/2023";"36000 - Ministério da Saúde";"36212 - Agência Nacional de Vigilância Sanitária";"40.118.693,48";"54.739.562,50";"55.238.400,25";"1.330.810,98";
"05/2023";"36000 - Ministério da Saúde";"36212 - Agência Nacional de Vigilância Sanitária";"117.510.445,85";"62.083.832,90";"51.708.463,41";"91.185,24";
"06/2023";"36000 - Ministério da Saúde";"36212 - Agência Nacional de Vigilância Sanitária";"60.538.913,45";"81.695.926,18";"65.558.210,48";"712.010,76";
"07/2023";"36000 - Ministério da Saúde";"36212 - Agência Nacional de Vigilância Sanitária";"69.465.291,66";"60.328.301,06";"68.939.456,85";"253.202,55";
"08/2023";"36000 - Ministério da Saúde";"36212 - Agência Nacional de Vigilância Sanitária";"52.260.419,28";"62.963.088,85";"63.118.999,63";"76.725,31";
"09/2023";"36000 - Ministério da Saúde";"36212 - Agência Nacional de Vigilância Sanitária";"82.116.971,27";"60.978.803,16";"60.859.192,50";"181.889,98";
"10/2023";"36000 - Ministério da Saúde";"36212 - Agência Nacional de Vigilância Sanitária";"43.881.637,22";"66.095.624,00";"66.107.430,25";"24.017,31";
"11/2023";"36000 - Ministério da Saúde";"36212 - Agência Nacional de Vigilância Sanitária";"84.312.648,26";"90.835.329,50";"71.394.519,45";"62.093,14";
"12/2023";"36000 - Ministério da Saúde";"36212 - Agência Nacional de Vigilância Sanitária";"50.485.680,82";"83.289.916,27";"86.804.781,64";"293.734,09";
"01/2023";"44000 - Ministério do Meio Ambiente e Mudança do Clima";"44205 - Agência Nacional de Águas";"141.524.094,89";"8.682.475,93";"3.008.137,30";"19.608.559,05";
"02/2023";"44000 - Ministério do Meio Ambiente e Mudança do Clima";"44205 - Agência Nacional de Águas";"3.687.224,25";"10.913.892,94";"10.804.124,39";"7.274.170,53";
"03/2023";"44000 - Ministério do Meio Ambiente e Mudança do Clima";"44205 - Agência Nacional de Águas";"- 65.222,07";"15.597.508,06";"15.689.686,69";"4.735.056,78";
"04/2023";"44000 - Ministério do Meio Ambiente e Mudança do Clima";"44205 - Agência Nacional de Águas";"30.896.423,64";"14.970.444,32";"13.365.876,81";"5.728.240,98";
"05/2023";"44000 - Ministério do Meio Ambiente e Mudança do Clima";"44205 - Agência Nacional de Águas";"171.648.707,60";"42.590.310,59";"43.130.499,56";"5.778.908,23";
"06/2023";"44000 - Ministério do Meio Ambiente e Mudança do Clima";"44205 - Agência Nacional de Águas";"6.118.576,72";"33.849.612,58";"30.501.969,37";"804.463,25";
"07/2023";"44000 - Ministério do Meio Ambiente e Mudança do Clima";"44205 - Agência Nacional de Águas";"24.753.268,65";"51.750.208,82";"52.358.671,00";"101.561,64";
"08/2023";"44000 - Ministério do Meio Ambiente e Mudança do Clima";"44205 - Agência Nacional de Águas";"10.130.216,77";"43.594.258,99";"43.836.326,31";"456.634,75";
"09/2023";"44000 - Ministério do Meio Ambiente e Mudança do Clima";"44205 - Agência Nacional de Águas";"19.891.807,55";"33.459.710,62";"33.632.607,17";"531.363,10";
"10/2023";"44000 - Ministério do Meio Ambiente e Mudança do Clima";"44205 - Agência Nacional de Águas";"1.334.894,92";"36.256.271,06";"35.912.733,59";"1.068.628,50";
"11/2023";"44000 - Ministério do Meio Ambiente e Mudança do Clima";"44205 - Agência Nacional de Águas";"6.452.590,27";"42.074.490,37";"38.588.337,64";"422.000,00";
"12/2023";"44000 - Ministério do Meio Ambiente e Mudança do Clima";"44205 - Agência Nacional de Águas";"- 1.717.570,95";"49.647.484,39";"50.275.026,13";"1.005.768,55";
"11/2023";"42000 - Ministério da Cultura";"20203 - Agência Nacional do Cinema";"1.436.858,32";"17.016.041,01";"14.217.054,30";"0,00";
"02/2023";"42000 - Ministério da Cultura";"20203 - Agência Nacional do Cinema";"101.303.239,92";"8.939.080,51";"8.715.193,81";"695.432,80";
"06/2023";"42000 - Ministério da Cultura";"20203 - Agência Nacional do Cinema";"205.247.619,39";"199.984.985,01";"9.816.807,39";"163.560,58";
"08/2023";"42000 - Ministério da Cultura";"20203 - Agência Nacional do Cinema";"4.296.684,42";"212.213.288,72";"212.069.819,71";"161.333,71";
"09/2023";"42000 - Ministério da Cultura";"20203 - Agência Nacional do Cinema";"- 22.392.483,20";"211.864.779,22";"211.712.276,34";"133.711,32";
"10/2023";"42000 - Ministério da Cultura";"20203 - Agência Nacional do Cinema";"29.969.595,16";"211.145.936,92";"211.264.011,11";"5.481,74";
"01/2023";"42000 - Ministério da Cultura";"20203 - Agência Nacional do Cinema";"11.540.896,07";"7.845.066,11";"2.788.570,39";"10.976.096,27";
"03/2023";"42000 - Ministério da Cultura";"20203 - Agência Nacional do Cinema";"- 2.390.417,42";"9.157.250,20";"9.486.713,93";"200.252.904,47";
"04/2023";"42000 - Ministério da Cultura";"20203 - Agência Nacional do Cinema";"10.182.685,42";"10.176.401,77";"10.077.316,52";"380.951.903,68";
"05/2023";"42000 - Ministério da Cultura";"20203 - Agência Nacional do Cinema";"2.193.191,52";"10.959.931,31";"9.609.678,70";"202.064.866,18";
"07/2023";"42000 - Ministério da Cultura";"20203 - Agência Nacional do Cinema";"1.063.310.132,62";"210.466.513,88";"400.432.234,70";"12.293.649,61";
"12/2023";"42000 - Ministério da Cultura";"20203 - Agência Nacional do Cinema";"2.150.131,01";"254.946.515,94";"255.617.011,90";"9.539.500,49";
"01/2023";"32000 - Ministério de Minas e Energia";"32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis";"295.194.178,88";"20.873.960,74";"6.657.642,35";"3.253.979.753,15";
"02/2023";"32000 - Ministério de Minas e Energia";"32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis";"5.315.648.898,07";"5.328.341.726,04";"5.328.240.296,14";"2.977.234.059,81";
"03/2023";"32000 - Ministério de Minas e Energia";"32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis";"3.167.048.021,15";"3.153.305.929,95";"3.148.132.354,53";"13.199.008,76";
"04/2023";"32000 - Ministério de Minas e Energia";"32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis";"3.019.076.717,55";"2.892.661.125,82";"2.896.725.350,64";"5.625.026,66";
"05/2023";"32000 - Ministério de Minas e Energia";"32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis";"7.339.747.450,90";"7.417.031.967,26";"7.413.628.132,85";"2.645.478,33";
"06/2023";"32000 - Ministério de Minas e Energia";"32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis";"2.963.253.315,28";"3.027.531.873,94";"3.018.400.331,27";"308.577,62";
"07/2023";"32000 - Ministério de Minas e Energia";"32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis";"1.842.671.637,14";"754.142.910,45";"760.328.811,91";"680.125,26";
"08/2023";"32000 - Ministério de Minas e Energia";"32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis";"7.789.047.821,36";"6.963.073.769,19";"6.961.514.661,49";"765.893,66";
"09/2023";"32000 - Ministério de Minas e Energia";"32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis";"3.134.656.872,47";"5.153.644.780,08";"5.154.253.265,47";"288.171,43";
"10/2023";"32000 - Ministério de Minas e Energia";"32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis";"3.353.310.551,66";"3.396.638.144,50";"3.396.559.252,08";"59.640,10";
"11/2023";"32000 - Ministério de Minas e Energia";"32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis";"9.149.185.511,33";"9.176.878.014,59";"9.171.252.260,78";"530.012,40";
"12/2023";"32000 - Ministério de Minas e Energia";"32205 - Agência Nacional do Petróleo, Gás Natural e Biocombustíveis";"10.434.901.366,53";"3.885.005.973,18";"3.889.052.901,43";"818.896,56";
"02/2023";"41000 - Ministério das Comunicações";"41231 - Agêncial Nacional de Telecomunicações";"16.590.561,14";"35.771.016,43";"30.191.036,56";"5.404.616,11";
"03/2023";"41000 - Ministério das Comunicações";"41231 - Agêncial Nacional de Telecomunicações";"12.712.436,25";"42.024.620,06";"48.422.108,47";"11.728.662,26";
"04/2023";"41000 - Ministério das Comunicações";"41231 - Agêncial Nacional de Telecomunicações";"320.390.985,12";"39.972.731,76";"39.758.494,63";"1.361.504,06";
"05/2023";"41000 - Ministério das Comunicações";"41231 - Agêncial Nacional de Telecomunicações";"11.738.093,00";"45.726.741,44";"39.016.755,31";"2.494.292,93";
"06/2023";"41000 - Ministério das Comunicações";"41231 - Agêncial Nacional de Telecomunicações";"13.996.446,54";"51.972.056,93";"39.377.420,96";"3.397.495,35";
"07/2023";"41000 - Ministério das Comunicações";"41231 - Agêncial Nacional de Telecomunicações";"8.849.570,62";"44.576.305,34";"52.224.254,83";"985.088,16";
"08/2023";"41000 - Ministério das Comunicações";"41231 - Agêncial Nacional de Telecomunicações";"6.913.019,92";"44.705.079,68";"44.845.057,52";"295.161,93";
"11/2023";"41000 - Ministério das Comunicações";"41231 - Agêncial Nacional de Telecomunicações";"5.105.129,59";"64.877.078,62";"52.027.544,77";"13.565.903,08";
"12/2023";"41000 - Ministério das Comunicações";"41231 - Agêncial Nacional de Telecomunicações";"16.780.243,79";"56.113.606,06";"55.659.455,60";"708.699,09";
"01/2023";"41000 - Ministério das Comunicações";"41231 - Agêncial Nacional de Telecomunicações";"108.217.584,10";"32.295.890,53";"10.877.336,85";"33.689.584,81";
"09/2023";"41000 - Ministério das Comunicações";"41231 - Agêncial Nacional de Telecomunicações";"66.942.080,62";"43.142.109,48";"43.306.462,26";"672.272,16";
"10/2023";"41000 - Ministério das Comunicações";"41231 - Agêncial Nacional de Telecomunicações";"5.864.010,01";"47.213.921,31";"47.006.430,81";"1.394.074,51";
"01/2023";"52000 - Ministério da Defesa";"52233 - Amazônia Azul Tecnologia de Defesa S.A.";"324.520.691,99";"21.708.274,38";"144.417,08";"29.276.297,09";
"02/2023";"52000 - Ministério da Defesa";"52233 - Amazônia Azul Tecnologia de Defesa S.A.";"37.600.709,75";"30.104.446,18";"27.952.407,03";"3.183.770,10";
"06/2023";"52000 - Ministério da Defesa";"52233 - Amazônia Azul Tecnologia de Defesa S.A.";"75.015.999,68";"39.644.578,71";"36.043.047,10";"8.303.383,65";
"09/2023";"52000 - Ministério da Defesa";"52233 - Amazônia Azul Tecnologia de Defesa S.A.";"31.323.648,20";"51.612.307,47";"39.443.760,50";"1.486.848,28";
"10/2023";"52000 - Ministério da Defesa";"52233 - Amazônia Azul Tecnologia de Defesa S.A.";"26.333.633,54";"43.593.957,67";"48.600.039,43";"5.763.605,54";
"11/2023";"52000 - Ministério da Defesa";"52233 - Amazônia Azul Tecnologia de Defesa S.A.";"- 15.683.401,95";"62.675.404,94";"50.949.610,54";"265.269,71";
"12/2023";"52000 - Ministério da Defesa";"52233 - Amazônia Azul Tecnologia de Defesa S.A.";"- 15.687.506,02";"57.366.499,08";"73.328.101,97";"3.427.439,66";
