"Mês Ano";"Área de atuação (Função)";"Subfunção";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"04/2023";"14 - Direitos da cidadania";"422 - Direitos individuais, coletivos e difusos";"50.580.335,70";"3.779.200,37";"3.955.563,43";"19.541.855,64";
"04/2023";"10 - Saúde";"183 - Informação e inteligência";"0,00";"0,00";"0,00";"0,00";
"04/2023";"10 - Saúde";"573 - Difusão do conhecimento científico e tecnológico";"850.149,58";"2.490.172,06";"2.316.211,75";"1.135.071,40";
"04/2023";"10 - Saúde";"846 - Outros encargos especiais";"- 376.932,57";"74.523.531,38";"74.524.363,22";"0,00";
"04/2023";"14 - Direitos da cidadania";"122 - Administração geral";"68.480.776,90";"32.486.112,28";"32.224.537,85";"6.100.220,33";
"04/2023";"10 - Saúde";"572 - Desenvolvimento tecnológico e engenharia";"9.028.727,22";"7.232.799,93";"2.996.190,53";"9.097.070,11";
"04/2023";"10 - Saúde";"422 - Direitos individuais, coletivos e difusos";"0,00";"71.450,61";"71.450,61";"0,00";
"04/2023";"10 - Saúde";"125 - Normatização e fiscalização";"1.425.935,01";"1.287.037,17";"1.281.047,70";"2.305.818,14";
"04/2023";"04 - Administração";"122 - Administração geral";"883.739.849,07";"1.534.673.025,01";"1.501.947.719,40";"60.499.245,21";
"04/2023";"10 - Saúde";"121 - Planejamento e orçamento";"308.363,05";"780.752,79";"5.885.395,33";"2.313.291,06";
"04/2023";"04 - Administração";"331 - Proteção e benefícios ao trabalhador";"54.738.462,44";"87.712.063,79";"71.319.484,35";"0,00";
"04/2023";"10 - Saúde";"304 - Vigilância sanitária";"5.902.680,00";"23.897.299,31";"24.149.797,65";"519.220,52";
"04/2023";"10 - Saúde";"126 - Tecnologia da informação";"35.325.577,62";"23.716.612,06";"11.903.042,92";"6.875.005,73";
"04/2023";"10 - Saúde";"571 - Desenvolvimento científico";"105.118.442,53";"66.937.760,79";"57.906.261,46";"40.893.104,92";
"04/2023";"10 - Saúde";"124 - Controle interno";"975.700,00";"450.068,23";"12.568,23";"0,00";
"04/2023";"10 - Saúde";"131 - Comunicação social";"28.390.430,63";"24.384.690,92";"13.133.553,04";"17.743.698,87";
"04/2023";"10 - Saúde";"303 - Suporte profilático e terapêutico";"1.275.005.790,73";"1.280.892.457,91";"1.306.738.236,48";"312.574.459,51";
"04/2023";"10 - Saúde";"305 - Vigilância epidemiológica";"448.782.046,41";"644.790.681,51";"586.991.987,62";"1.090.693.302,98";
"04/2023";"10 - Saúde";"511 - Saneamento básico rural";"5.927.408,62";"2.922.876,36";"2.964.679,21";"1.915.464,41";
"04/2023";"10 - Saúde";"423 - Assistência aos povos indígenas";"371.846.176,01";"85.260.994,60";"83.238.926,20";"5.405.900,54";
"04/2023";"26 - Transporte";"846 - Outros encargos especiais";"0,00";"14.529.912,24";"14.529.912,24";"0,00";
"04/2023";"05 - Defesa nacional";"366 - Educação de jovens e adultos";"- 6.000,00";"- 503,08";"- 503,08";"17.344,50";
"04/2023";"05 - Defesa nacional";"573 - Difusão do conhecimento científico e tecnológico";"24.270,36";"0,00";"0,00";"1.943,97";
"04/2023";"05 - Defesa nacional";"482 - Habitação urbana";"4.993.072,72";"8.812.821,69";"8.564.308,35";"15.553.778,07";
"04/2023";"12 - Educação";"368 - Educação básica";"829.338.438,87";"258.747.907,03";"194.227.806,82";"123.925.716,95";
"04/2023";"22 - Indústria";"664 - Propriedade industrial";"6.372.956,27";"710.517,74";"726.778,63";"1.074.593,59";
"04/2023";"26 - Transporte";"126 - Tecnologia da informação";"41.875.521,63";"8.861.611,55";"10.424.200,28";"7.898.015,97";
"04/2023";"05 - Defesa nacional";"121 - Planejamento e orçamento";"363.622,87";"16.784,62";"12.125,62";"- 8,67";
"04/2023";"05 - Defesa nacional";"333 - Empregabilidade";"0,00";"0,00";"0,00";"60.816,01";
"04/2023";"05 - Defesa nacional";"722 - Telecomunicações";"1.832.000,00";"2.207,80";"2.207,80";"6.992.567,22";
"04/2023";"26 - Transporte";"783 - Transporte ferroviário";"4.003.611,84";"521.675,68";"473.751,88";"3.002.471,54";
"04/2023";"26 - Transporte";"331 - Proteção e benefícios ao trabalhador";"2.675.490,10";"7.736.656,50";"6.619.675,96";"0,00";
"04/2023";"05 - Defesa nacional";"572 - Desenvolvimento tecnológico e engenharia";"196.813.642,51";"4.094.064,17";"4.023.753,51";"6.677.524,29";
"04/2023";"05 - Defesa nacional";"151 - Defesa aérea";"1.947.095.498,29";"97.197.714,54";"94.729.852,52";"104.721.787,40";
"04/2023";"26 - Transporte";"121 - Planejamento e orçamento";"11.267.521,70";"2.770.448,81";"832.885,81";"12.760.198,44";
"04/2023";"05 - Defesa nacional";"542 - Controle ambiental";"9.183.487,63";"1.535.825,08";"1.662.790,99";"3.666.539,70";
"04/2023";"05 - Defesa nacional";"212 - Cooperação internacional";"317.625,15";"474.779,98";"472.943,63";"764.211,05";
"04/2023";"05 - Defesa nacional";"423 - Assistência aos povos indígenas";"30.494.351,33";"14.885.426,02";"14.727.241,92";"0,00";
"04/2023";"05 - Defesa nacional";"125 - Normatização e fiscalização";"26.954.072,90";"6.882.961,22";"4.894.211,15";"6.686.653,60";
"04/2023";"26 - Transporte";"784 - Transporte hidroviário";"69.716.186,80";"32.422.392,26";"32.378.666,71";"13.970.592,77";
"04/2023";"26 - Transporte";"122 - Administração geral";"252.338.929,49";"142.983.483,31";"147.925.274,42";"12.404.771,22";
"04/2023";"05 - Defesa nacional";"811 - Desporto de rendimento";"45.002,90";"308.261,26";"308.261,26";"53.137,76";
"04/2023";"26 - Transporte";"782 - Transporte rodoviário";"2.638.646.767,00";"312.427.090,32";"287.001.756,21";"475.296.251,60";
"04/2023";"06 - Segurança pública";"846 - Outros encargos especiais";"0,00";"105.691.777,13";"105.691.777,13";"44.933,24";
"04/2023";"05 - Defesa nacional";"846 - Outros encargos especiais";"6.442.311,48";"18.667.040,38";"18.667.040,38";"0,00";
"04/2023";"07 - Relações exteriores";"846 - Outros encargos especiais";"37.570.740,00";"10.933.010,30";"10.933.010,30";"0,00";
"04/2023";"18 - Gestão ambiental";"544 - Recursos hídricos";"167.411.518,21";"199.984.320,07";"193.205.970,57";"137.899.021,57";
"04/2023";"12 - Educação";"846 - Outros encargos especiais";"155.814.713,37";"617.748.998,00";"617.629.616,73";"16.868,99";
"04/2023";"18 - Gestão ambiental";"128 - Formação de recursos humanos";"100.276,62";"103.654,66";"47.647,10";"0,00";
"04/2023";"10 - Saúde";"301 - Atenção básica";"2.455.847.299,06";"2.203.891.621,91";"2.202.076.302,38";"146.457.028,53";
"04/2023";"04 - Administração";"125 - Normatização e fiscalização";"55.627.010,21";"15.672.890,62";"15.967.100,63";"4.078.125,16";
"04/2023";"10 - Saúde";"128 - Formação de recursos humanos";"404.255.177,69";"151.365.594,21";"154.410.216,88";"16.805.037,54";
"04/2023";"07 - Relações exteriores";"573 - Difusão do conhecimento científico e tecnológico";"1.529.147,20";"378.152,93";"482.055,82";"0,00";
"04/2023";"23 - Comércio e serviços";"693 - Comércio exterior";"30.095.257,00";"15.170.606,19";"15.177.112,43";"15.583.472,38";
"04/2023";"05 - Defesa nacional";"812 - Desporto comunitário";"- 2.162,04";"0,00";"0,00";"510.162,50";
"04/2023";"19 - Ciência e Tecnologia";"301 - Atenção básica";"0,00";"0,00";"0,00";"134.996,08";
"04/2023";"22 - Indústria";"126 - Tecnologia da informação";"8.130.138,17";"1.418.377,05";"1.574.624,50";"1.858.750,99";
"04/2023";"06 - Segurança pública";"301 - Atenção básica";"0,00";"0,00";"0,00";"685.531,78";
"04/2023";"12 - Educação";"128 - Formação de recursos humanos";"3.905.373,01";"2.040.061,07";"1.729.087,68";"1.055.758,82";
"04/2023";"12 - Educação";"122 - Administração geral";"160.852.671,77";"74.581.372,20";"75.673.211,71";"7.556.565,71";
"04/2023";"06 - Segurança pública";"331 - Proteção e benefícios ao trabalhador";"7.883.445,37";"36.631.276,08";"30.800.887,67";"0,00";
"04/2023";"07 - Relações exteriores";"128 - Formação de recursos humanos";"278.446,95";"108.006,52";"115.252,89";"30.000,00";
"04/2023";"22 - Indústria";"331 - Proteção e benefícios ao trabalhador";"15.898.851,85";"6.196.403,79";"5.568.259,82";"0,00";
"04/2023";"19 - Ciência e Tecnologia";"122 - Administração geral";"64.442.407,18";"118.213.475,60";"115.652.376,58";"13.781.193,02";
"04/2023";"10 - Saúde";"122 - Administração geral";"243.950.222,88";"571.769.922,98";"564.439.161,83";"17.505.339,46";
"04/2023";"07 - Relações exteriores";"331 - Proteção e benefícios ao trabalhador";"59.782.717,62";"52.987.515,88";"52.737.259,32";"0,00";
"04/2023";"22 - Indústria";"661 - Promoção industrial";"4.827.315,00";"5.368,30";"5.929,27";"930.368,33";
"04/2023";"22 - Indústria";"127 - Ordenamento territorial";"205.339,02";"67.109,28";"56.681,32";"553.315,95";
"04/2023";"07 - Relações exteriores";"691 - Promoção comercial";"865.459,44";"570.800,33";"570.800,33";"134.052,70";
"04/2023";"07 - Relações exteriores";"301 - Atenção básica";"0,00";"0,00";"0,00";"0,00";
"04/2023";"18 - Gestão ambiental";"543 - Recuperação de áreas degradadas";"163.978,67";"113.899,13";"47.414,49";"266.312,23";
"04/2023";"22 - Indústria";"122 - Administração geral";"169.267.318,83";"93.070.267,70";"94.966.629,12";"3.403.798,44";
"04/2023";"22 - Indústria";"544 - Recursos hídricos";"263.457,51";"205.589,65";"246.274,41";"324.044,67";
"04/2023";"12 - Educação";"364 - Ensino superior";"4.135.806.064,68";"2.928.642.688,09";"2.628.183.924,58";"190.183.691,95";
"04/2023";"19 - Ciência e Tecnologia";"662 - Produção industrial";"7.927.060,15";"5.698.524,49";"4.404.566,61";"13.198.617,11";
"04/2023";"19 - Ciência e Tecnologia";"331 - Proteção e benefícios ao trabalhador";"662.491,13";"7.607.738,78";"7.444.708,16";"0,00";
"04/2023";"07 - Relações exteriores";"392 - Difusão cultural";"10.651.942,87";"3.819.419,38";"3.823.339,51";"705.177,14";
"04/2023";"12 - Educação";"363 - Ensino profissional";"849.746.524,05";"977.836.064,90";"963.354.838,56";"134.948.762,19";
"04/2023";"22 - Indústria";"182 - Defesa civil";"802.392,47";"352.406,38";"385.998,73";"0,00";
"04/2023";"22 - Indústria";"128 - Formação de recursos humanos";"328.137,89";"101.539,64";"95.774,39";"1.281,67";
"04/2023";"22 - Indústria";"663 - Mineração";"6.322.083,26";"1.435.246,26";"2.467.644,53";"1.191.305,04";
"04/2023";"19 - Ciência e Tecnologia";"572 - Desenvolvimento tecnológico e engenharia";"63.439.261,92";"46.347.684,26";"262.874.063,68";"30.997.694,01";
"04/2023";"07 - Relações exteriores";"212 - Cooperação internacional";"2.623.921,04";"2.735.412,49";"2.717.798,85";"1.020,79";
"04/2023";"06 - Segurança pública";"122 - Administração geral";"376.327.693,68";"579.066.267,12";"598.379.266,92";"11.415.282,61";
"04/2023";"07 - Relações exteriores";"122 - Administração geral";"335.641.104,09";"143.322.362,55";"144.041.359,89";"2.824.519,68";
"04/2023";"07 - Relações exteriores";"211 - Relações diplomáticas";"396.588.421,50";"84.940.124,49";"84.763.805,78";"896.304,37";
"04/2023";"10 - Saúde";"302 - Assistência hospitalar e ambulatorial";"6.713.780.793,93";"6.429.211.714,90";"6.378.232.877,38";"352.729.774,99";
"04/2023";"06 - Segurança pública";"181 - Policiamento";"292.352.642,44";"147.208.635,48";"112.298.977,13";"116.665.348,27";
"04/2023";"10 - Saúde";"331 - Proteção e benefícios ao trabalhador";"- 5.242.081,82";"61.023.348,11";"50.978.910,77";"0,00";
"04/2023";"18 - Gestão ambiental";"846 - Outros encargos especiais";"- 33.685,77";"13.442.928,62";"13.441.133,29";"0,00";
"04/2023";"18 - Gestão ambiental";"695 - Turismo";"0,00";"0,00";"0,00";"56.762,21";
"04/2023";"12 - Educação";"331 - Proteção e benefícios ao trabalhador";"69.333.709,44";"300.402.591,74";"248.891.321,73";"0,00";
"04/2023";"05 - Defesa nacional";"183 - Informação e inteligência";"1.538.958,09";"520.423,74";"487.513,82";"150.495,45";
"04/2023";"12 - Educação";"302 - Assistência hospitalar e ambulatorial";"160.425.367,25";"849.987.806,45";"772.972.510,91";"40.359.799,43";
"04/2023";"09 - Previdência social";"272 - Previdência do regime estatutário";"1.684.800.788,37";"7.699.007.508,24";"7.651.357.199,10";"35.623,93";
"04/2023";"20 - Agricultura";"301 - Atenção básica";"0,00";"0,00";"0,00";"8.507.899,60";
"04/2023";"20 - Agricultura";"331 - Proteção e benefícios ao trabalhador";"3.097.397,50";"13.672.106,79";"12.356.691,17";"0,00";
"04/2023";"13 - Cultura";"392 - Difusão cultural";"36.604.855,71";"8.318.791,76";"8.368.592,55";"9.336.662,65";
"04/2023";"18 - Gestão ambiental";"331 - Proteção e benefícios ao trabalhador";"374.306,45";"5.266.258,17";"4.232.140,93";"0,00";
"04/2023";"13 - Cultura";"391 - Patrimônio histórico, artístico e arqueológico";"5.031.760,85";"247.958,33";"201.213,75";"5.189.525,80";
"04/2023";"05 - Defesa nacional";"126 - Tecnologia da informação";"288.332,08";"274.104,81";"514.235,36";"1.601.033,10";
"04/2023";"28 - Encargos especiais";"846 - Outros encargos especiais";"1.124.611.150,55";"2.518.332.179,96";"2.508.870.895,13";"794.635.727,40";
"04/2023";"05 - Defesa nacional";"781 - Transporte aéreo";"73.011,53";"780.060,74";"770.178,74";"2.373.817,53";
"04/2023";"05 - Defesa nacional";"364 - Ensino superior";"4.527.932,16";"249.393,70";"241.572,13";"3.090.202,27";
"04/2023";"05 - Defesa nacional";"244 - Assistência comunitária";"37.344,43";"16.263,15";"13.851,80";"40.879.877,80";
"04/2023";"05 - Defesa nacional";"131 - Comunicação social";"2.341,56";"58.221,72";"54.627,17";"7.240,20";
"04/2023";"20 - Agricultura";"605 - Abastecimento";"476.243.136,73";"365.948.514,40";"365.647.259,05";"10.487.919,97";
"04/2023";"18 - Gestão ambiental";"541 - Preservação e conservação ambiental";"41.138.169,62";"9.642.537,21";"8.862.875,83";"5.661.725,22";
"04/2023";"20 - Agricultura";"122 - Administração geral";"22.446.741,61";"642.392.106,50";"318.923.290,51";"4.251.199,95";
"04/2023";"18 - Gestão ambiental";"542 - Controle ambiental";"4.892.253,48";"2.715.884,96";"2.694.936,49";"3.276.377,11";
"04/2023";"20 - Agricultura";"573 - Difusão do conhecimento científico e tecnológico";"- 1.574,00";"2.727,44";"2.687,44";"2.028.229,69";
"04/2023";"18 - Gestão ambiental";"122 - Administração geral";"53.722.481,99";"91.488.045,38";"92.822.942,29";"3.783.346,97";
"04/2023";"05 - Defesa nacional";"301 - Atenção básica";"1.617.524,61";"0,00";"0,00";"149.169.014,31";
"04/2023";"05 - Defesa nacional";"128 - Formação de recursos humanos";"23.226.699,08";"5.110.507,74";"3.860.083,06";"3.902.284,66";
"04/2023";"20 - Agricultura";"572 - Desenvolvimento tecnológico e engenharia";"28.377.627,79";"13.667.141,71";"12.584.991,15";"13.311.702,85";
"04/2023";"05 - Defesa nacional";"368 - Educação básica";"2.142.569,84";"1.366.945,77";"1.312.125,25";"625.568,65";
"04/2023";"05 - Defesa nacional";"331 - Proteção e benefícios ao trabalhador";"473.221.413,83";"477.494.355,40";"551.814.795,73";"58.204.074,52";
"04/2023";"05 - Defesa nacional";"153 - Defesa terrestre";"171.288.096,97";"20.836.554,28";"18.661.373,86";"141.830.047,35";
"04/2023";"05 - Defesa nacional";"122 - Administração geral";"1.573.157.070,21";"5.053.531.488,15";"5.194.986.346,19";"69.206.023,53";
"05/2023";"09 - Previdência social";"125 - Normatização e fiscalização";"190.980,89";"221.377,63";"26.263,81";"0,00";
"05/2023";"18 - Gestão ambiental";"571 - Desenvolvimento científico";"54.236,90";"69.726,83";"129.725,81";"57.818,83";
"05/2023";"14 - Direitos da cidadania";"131 - Comunicação social";"43.990,00";"0,00";"0,00";"128.619,52";
"05/2023";"25 - Energia";"130 - Administração de concessões";"90.500,00";"342.497,34";"330.344,80";"70.503,01";
"05/2023";"25 - Energia";"665 - Normalização e qualidade";"144.765,01";"84.391,74";"84.391,74";"203.305,73";
"05/2023";"10 - Saúde";"512 - Saneamento básico urbano";"- 16.284,69";"0,00";"0,00";"3.901,92";
"05/2023";"10 - Saúde";"541 - Preservação e conservação ambiental";"- 18.295,12";"0,00";"0,00";"12.000,00";
"05/2023";"04 - Administração";"662 - Produção industrial";"20.865.892,26";"3.987.682,95";"3.914.033,20";"352.150,55";
"05/2023";"22 - Indústria";"211 - Relações diplomáticas";"- 422,46";"38.731,00";"38.731,00";"0,00";
"05/2023";"22 - Indústria";"571 - Desenvolvimento científico";"- 27.941,69";"37.602,03";"0,00";"0,00";
"05/2023";"06 - Segurança pública";"482 - Habitação urbana";"599.117,63";"613.317,63";"585.017,63";"0,00";
"05/2023";"13 - Cultura";"813 - Lazer";"0,00";"0,00";"0,00";"142.860,81";
"05/2023";"24 - Comunicações";"572 - Desenvolvimento tecnológico e engenharia";"301.634.088,15";"3.531.343,15";"3.531.343,15";"0,00";
"05/2023";"21 - Organização agrária";"244 - Assistência comunitária";"468.040.642,00";"156.013.547,00";"156.013.547,00";"0,00";
"05/2023";"21 - Organização agrária";"608 - Promoção da produção agropecuária";"990.466,25";"3.026.593,74";"3.253.593,74";"0,00";
"05/2023";"04 - Administração";"092 - Representação judicial e extrajudicial";"83.589.125,27";"20.458.625,08";"16.178.475,66";"28.798,82";
"05/2023";"22 - Indústria";"333 - Empregabilidade";"0,00";"0,00";"0,00";"38.880,00";
"05/2023";"26 - Transporte";"128 - Formação de recursos humanos";"0,00";"0,00";"0,00";"36.506,36";
"05/2023";"26 - Transporte";"781 - Transporte aéreo";"47.276.447,41";"5.295.973,00";"5.295.973,00";"9.664.243,17";
"05/2023";"02 - Judiciária";"032 - Controle externo";"0,00";"0,00";"0,00";"15.800,00";
"05/2023";"14 - Direitos da cidadania";"423 - Assistência aos povos indígenas";"4.564.291,24";"1.581.703,36";"1.543.759,69";"2.031.474,44";
"05/2023";"09 - Previdência social";"846 - Outros encargos especiais";"98.427.080,60";"46.316.227,00";"46.312.809,88";"0,00";
"05/2023";"09 - Previdência social";"128 - Formação de recursos humanos";"- 4.996,99";"58.833,56";"58.713,02";"0,00";
"05/2023";"09 - Previdência social";"331 - Proteção e benefícios ao trabalhador";"27.269.874,11";"21.592.179,41";"22.352.856,13";"0,00";
"05/2023";"09 - Previdência social";"092 - Representação judicial e extrajudicial";"16.500.000,00";"6.267.145,09";"6.280.606,77";"0,00";
"05/2023";"09 - Previdência social";"124 - Controle interno";"548.900,00";"575.469,84";"625.776,92";"0,00";
"05/2023";"08 - Assistência social";"605 - Abastecimento";"0,00";"0,00";"0,00";"0,00";
"05/2023";"28 - Encargos especiais";"847 - Transferências para a educação básica";"1.668.457.145,00";"7.557.756.060,08";"7.557.756.060,08";"0,00";
"05/2023";"09 - Previdência social";"126 - Tecnologia da informação";"63.759.138,78";"82.199.500,63";"79.213.636,92";"7.090.002,54";
"05/2023";"09 - Previdência social";"665 - Normalização e qualidade";"0,00";"0,00";"0,00";"880,91";
"05/2023";"09 - Previdência social";"301 - Atenção básica";"0,00";"0,00";"0,00";"59.279,34";
"05/2023";"24 - Comunicações";"422 - Direitos individuais, coletivos e difusos";"16.574,20";"1.109.214,24";"1.093.427,90";"0,00";
"05/2023";"24 - Comunicações";"125 - Normatização e fiscalização";"2.488.939,30";"1.571.837,32";"1.562.124,17";"1.653.891,13";
"05/2023";"01 - Legislativa";"031 - Ação legislativa";"0,00";"0,00";"0,00";"4.956,05";
"05/2023";"25 - Energia";"846 - Outros encargos especiais";"0,00";"4.400.512,58";"4.377.510,96";"0,00";
"05/2023";"25 - Energia";"125 - Normatização e fiscalização";"6.272.121,38";"8.137.962,17";"9.632.467,21";"4.670.998,74";
"05/2023";"24 - Comunicações";"722 - Telecomunicações";"168.095.690,48";"16.183.135,80";"20.868.791,61";"11.010.070,38";
"05/2023";"21 - Organização agrária";"422 - Direitos individuais, coletivos e difusos";"128.449,07";"35.619,84";"28.156,67";"0,00";
"05/2023";"28 - Encargos especiais";"841 - Refinanciamento da dívida interna";"165.750.000.000,00";"163.357.964.020,15";"163.357.964.020,15";"0,00";
"05/2023";"28 - Encargos especiais";"843 - Serviço da dívida interna";"117.043.413.509,01";"115.854.627.274,44";"115.854.627.274,44";"83.371,82";
"05/2023";"08 - Assistência social";"243 - Assistência à criança e ao adolescente";"37.853.731,85";"36.539.150,45";"33.603.961,26";"0,00";
"05/2023";"08 - Assistência social";"511 - Saneamento básico rural";"1.307,38";"1.307,38";"1.307,38";"3.354,00";
"05/2023";"04 - Administração";"131 - Comunicação social";"0,00";"13.308.883,52";"13.308.883,52";"4.706.305,71";
"05/2023";"08 - Assistência social";"122 - Administração geral";"34.746.267,48";"4.684.145,44";"4.663.582,96";"0,00";
"05/2023";"08 - Assistência social";"306 - Alimentação e nutrição";"81.915,80";"0,00";"0,00";"25.586.532,04";
"05/2023";"27 - Desporto e lazer";"811 - Desporto de rendimento";"63.818.493,75";"13.653.897,96";"13.615.580,14";"9.417.633,13";
"05/2023";"27 - Desporto e lazer";"812 - Desporto comunitário";"37.132.638,00";"0,00";"0,00";"47.713.136,90";
"05/2023";"03 - Essencial à justiça";"846 - Outros encargos especiais";"0,00";"26.829.554,12";"26.829.554,12";"0,00";
"05/2023";"03 - Essencial à justiça";"331 - Proteção e benefícios ao trabalhador";"0,00";"9.051.683,45";"11.909.027,53";"0,00";
"05/2023";"03 - Essencial à justiça";"092 - Representação judicial e extrajudicial";"10.224.665,41";"38.941.790,61";"37.568.476,14";"2.574.377,95";
"05/2023";"03 - Essencial à justiça";"122 - Administração geral";"215.718,08";"313.941,97";"236.610,86";"0,00";
"05/2023";"25 - Energia";"751 - Conservação de energia";"16.015.670,05";"1.663.480,36";"1.617.368,52";"0,00";
"05/2023";"04 - Administração";"211 - Relações diplomáticas";"0,00";"0,00";"0,00";"0,00";
"05/2023";"24 - Comunicações";"126 - Tecnologia da informação";"1.007.000,00";"4.942.947,46";"4.942.947,46";"1.413.735,41";
"05/2023";"24 - Comunicações";"846 - Outros encargos especiais";"0,00";"4.227.757,58";"4.227.757,58";"0,00";
"05/2023";"24 - Comunicações";"301 - Atenção básica";"0,00";"0,00";"0,00";"17.792,32";
"05/2023";"24 - Comunicações";"331 - Proteção e benefícios ao trabalhador";"56.306,63";"2.017.181,57";"2.451.960,18";"0,00";
"05/2023";"24 - Comunicações";"131 - Comunicação social";"35.628.797,64";"0,00";"0,00";"17.390.774,14";
"05/2023";"05 - Defesa nacional";"363 - Ensino profissional";"10.350.757,42";"1.633.200,92";"1.307.724,11";"2.290.384,17";
"05/2023";"13 - Cultura";"691 - Promoção comercial";"0,00";"0,00";"0,00";"200.000.000,00";
"05/2023";"21 - Organização agrária";"846 - Outros encargos especiais";"0,00";"6.307.820,84";"6.307.820,84";"0,00";
"05/2023";"21 - Organização agrária";"301 - Atenção básica";"0,00";"0,00";"0,00";"0,00";
"05/2023";"09 - Previdência social";"845 - Outras transferências";"129.322.588,10";"129.138.916,21";"128.891.623,66";"0,00";
"05/2023";"03 - Essencial à justiça";"032 - Controle externo";"0,00";"0,00";"0,00";"20.310,00";
"05/2023";"04 - Administração";"391 - Patrimônio histórico, artístico e arqueológico";"9.935.297,35";"2.589.590,61";"1.980.968,73";"30.710,33";
"05/2023";"08 - Assistência social";"331 - Proteção e benefícios ao trabalhador";"0,00";"0,00";"0,00";"7.893,00";
"05/2023";"23 - Comércio e serviços";"691 - Promoção comercial";"0,00";"0,00";"0,00";"72.456,85";
"05/2023";"04 - Administração";"183 - Informação e inteligência";"12.488.681,20";"4.539.611,28";"4.514.286,95";"239.207,07";
"05/2023";"04 - Administração";"123 - Administração financeira";"133.072,00";"377.084,61";"378.709,11";"57.759,09";
"05/2023";"22 - Indústria";"846 - Outros encargos especiais";"3.006.517,61";"8.820.080,87";"8.813.935,06";"0,00";
"05/2023";"22 - Indústria";"664 - Propriedade industrial";"199.628,36";"1.725.057,19";"1.724.868,91";"0,00";
"05/2023";"05 - Defesa nacional";"571 - Desenvolvimento científico";"204.734,00";"222.112,79";"737.141,36";"419.223,36";
"05/2023";"13 - Cultura";"125 - Normatização e fiscalização";"0,00";"0,00";"0,00";"0,00";
"05/2023";"04 - Administração";"422 - Direitos individuais, coletivos e difusos";"742.000,00";"65.119,05";"35.159,42";"0,00";
"05/2023";"04 - Administração";"127 - Ordenamento territorial";"1.811.488,19";"3.977.456,51";"3.817.496,22";"1.769.652,88";
"05/2023";"06 - Segurança pública";"421 - Custódia e reintegração social";"17.522.390,68";"3.090.912,86";"3.105.894,91";"9.701.712,25";
"05/2023";"04 - Administração";"571 - Desenvolvimento científico";"0,00";"1.584.026,42";"1.584.026,42";"0,00";
"05/2023";"05 - Defesa nacional";"302 - Assistência hospitalar e ambulatorial";"5.004.087,91";"3.665.650,78";"3.651.904,48";"790.534,35";
"05/2023";"23 - Comércio e serviços";"846 - Outros encargos especiais";"0,00";"0,00";"0,00";"13.373,42";
"05/2023";"23 - Comércio e serviços";"695 - Turismo";"46.091.011,02";"632.470,80";"631.873,77";"7.662.993,74";
"05/2023";"23 - Comércio e serviços";"122 - Administração geral";"- 1.354.786,81";"289.206,95";"306.981,46";"503.725,58";
"05/2023";"15 - Urbanismo";"131 - Comunicação social";"- 612,00";"0,00";"0,00";"2.196,65";
"05/2023";"26 - Transporte";"130 - Administração de concessões";"85.979,65";"49.296,78";"49.296,78";"0,00";
"05/2023";"11 - Trabalho";"846 - Outros encargos especiais";"90.600.000,00";"31.925.867,77";"31.924.993,26";"0,00";
"05/2023";"11 - Trabalho";"571 - Desenvolvimento científico";"46.279,26";"40.718,73";"48.139,24";"86.130,44";
"05/2023";"11 - Trabalho";"331 - Proteção e benefícios ao trabalhador";"8.798.120.668,19";"8.779.498.765,12";"8.779.436.051,34";"139.499.904,30";
"05/2023";"11 - Trabalho";"125 - Normatização e fiscalização";"17.673.147,27";"2.551.458,18";"2.451.840,81";"2.923.961,57";
"05/2023";"11 - Trabalho";"334 - Fomento ao trabalho";"1.713.253.103,39";"1.706.245.018,91";"1.706.245.018,91";"2.393,63";
"05/2023";"11 - Trabalho";"126 - Tecnologia da informação";"83.234.242,91";"12.955.662,61";"1.224.310,12";"32.198.519,65";
"05/2023";"13 - Cultura";"128 - Formação de recursos humanos";"29.488,87";"40.971,10";"41.513,49";"2.090,00";
"05/2023";"04 - Administração";"364 - Ensino superior";"109.551,04";"77.019,27";"50.323,87";"37,90";
"05/2023";"04 - Administração";"121 - Planejamento e orçamento";"55.481.878,54";"77.595.704,46";"70.508.538,02";"19.578.020,32";
"05/2023";"14 - Direitos da cidadania";"211 - Relações diplomáticas";"0,00";"398.457,55";"398.457,55";"0,00";
"05/2023";"14 - Direitos da cidadania";"331 - Proteção e benefícios ao trabalhador";"3.000,00";"1.885.080,35";"1.719.333,23";"0,00";
"05/2023";"12 - Educação";"367 - Educação especial";"3.002.637,41";"2.463.407,49";"2.223.028,58";"398.258,43";
"05/2023";"03 - Essencial à justiça";"062 - Defesa do interesse público no processo judiciário";"0,00";"28.939,97";"28.939,97";"73.333,32";
"05/2023";"19 - Ciência e Tecnologia";"121 - Planejamento e orçamento";"2.200.000,00";"0,00";"0,00";"100.000,00";
"05/2023";"19 - Ciência e Tecnologia";"542 - Controle ambiental";"409.074,81";"67.611,03";"68.837,14";"270.800,00";
"05/2023";"12 - Educação";"131 - Comunicação social";"9.828.174,88";"163.645,16";"169.100,27";"91.358,29";
"05/2023";"14 - Direitos da cidadania";"125 - Normatização e fiscalização";"11.830.769,55";"4.454.802,17";"4.137.716,41";"421.464,21";
