"Ano";"Órgão Superior";"Órgão";"Unidade Gestora";"Categoria";"Origem";"Espécie";"Detalhamento";"Orçamento Atualizado (Valor Previsto)";"Receita Realizada (Valor Arrecadado)";"% Previsto/Realizado";"Valor Lançado";
"2022";"55000 - Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome";"55001 - Fundo Nacional de Assistência Social";"330013 - FUNDO NACIONAL DE ASSISTENCIA SOCIAL";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"193 - Bens, Direitos e Valores Incorporados ao Patrimônio Público";"19310212 - ALIEN.BENS E MERCADORIAS APREENDIDOS-MUL.JUR.";"112.995,00";"0,00";"0,00%";"0,00";
"2022";"53000 - Ministério da Integração e do Desenvolvimento Regional";"53902 - Fundo Constitucional de Financiamento do Centro-Oeste";"537003 - FUNDO CONSTITUCIONL DO CENTRO OESTE";"1 - Receitas Correntes";"11 - Impostos, Taxas e Contribuições de Melhoria";"111 - Impostos";"11140112 - IPI-FUMO-MULTAS E JUROS";"108.503,00";"0,00";"0,00%";"0,00";
"2022";"36000 - Ministério da Saúde";"36000 - Ministério da Saúde - Unidades com vínculo direto";"250088 - SPO-COORD.-GERAL DE FINAN. E CONTAB./MS";"1 - Receitas Correntes";"13 - Receita Patrimonial";"134 - Exploração de recursos naturais";"13410241 - ROYAL.PETRO.PLAT.-COM.A PARTIR 3/12/12-PRINC.";"285.153.572,00";"0,00";"0,00%";"0,00";
"2022";"24000 - Ministério da Ciência, Tecnologia e Inovação";"24901 - Fundo Nacional de Desenvolvimento Científico e Tecnológico";"240901 - FUNDO NAC.DE DESENV. CIENT. E TECNOLOGICO";"1 - Receitas Correntes";"12 - Contribuições";"122 - Contribuições econômicas";"12210703 - CIDE-REMESSAS AO EXTERIOR-DIVIDA ATIVA";"832.052,00";"0,00";"0,00%";"0,00";
"2022";"53000 - Ministério da Integração e do Desenvolvimento Regional";"22204 - Departamento Nacional de Obras Contra as Secas";"113802 - DEPARTAMENTO NAC. DE OBRAS CONTRA AS SECAS/UO";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"192 - Indenizações, restituições e ressarcimentos";"19229902 - OUTRAS RESTITUICOES-MULTAS E JUROS";"0,00";"11.698,55";"0,00%";"0,00";
"2022";"32000 - Ministério de Minas e Energia";"32000 - Ministério de Minas e Energia - Unidades com vínculo direto";"320002 - COORD.GERAL DE ORCAM.E FINANCAS/MME";"1 - Receitas Correntes";"13 - Receita Patrimonial";"134 - Exploração de recursos naturais";"13410431 - P.ESP.PETRO.PLAT-COM.ANT.3/12/12-DEMAIS-PRINC";"255.674.590,00";"0,00";"0,00%";"0,00";
"2022";"30000 - Ministério da Justiça e Segurança Pública";"30802 - Polícia Rodoviária Federal";"200278 - COORDENACAO DE ORCAMENTO E FINANCAS - PRF";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"193 - Bens, Direitos e Valores Incorporados ao Patrimônio Público";"19310702 - BENS,DIR.VAL.PERD.UNIAO-LAV.OCUL.BENS-MUL.JUR";"0,00";"4,00";"0,00%";"0,00";
"2022";"26000 - Ministério da Educação";"26284 - Fundação Universidade Federal de Ciências da Saúde de Porto Alegre";"154032 - FUND.UNIV.FED.DE.CIENC.DA SAUDE DE P.ALEGRE";"1 - Receitas Correntes";"13 - Receita Patrimonial";"131 - Exploração do patrimônio imobiliário do Estado";"13110111 - ALUGUEIS E ARRENDAMENTOS-PRINCIPAL";"4.317,00";"0,00";"0,00%";"0,00";
"2022";"26000 - Ministério da Educação";"26233 - Universidade Federal do Ceará";"153045 - UNIVERSIDADE FEDERAL DO CEARA";"1 - Receitas Correntes";"16 - Receita de Serviços";"163 - Serviços e Atividades Referentes à Saúde";"16310101 - SERV.ATENDIM.SAUDE UNID.GOV.FED.-PRINC.";"0,00";"240,00";"0,00%";"0,00";
"2022";"53000 - Ministério da Integração e do Desenvolvimento Regional";"53903 - Fundo Constitucional de Financiamento do Nordeste";"537001 - FUNDO CONSTITUCIONAL DE FINANCIAM.DO NORDESTE";"1 - Receitas Correntes";"11 - Impostos, Taxas e Contribuições de Melhoria";"111 - Impostos";"11130101 - IRPF-PRINCIPAL";"944.293.296,00";"0,00";"0,00%";"0,00";
"2022";"26000 - Ministério da Educação";"26436 - Instituto Federal Sul-rio-grandense";"158126 - INST.FED.DE EDUC.,CIE.E TEC.SUL-RIO-GRANDENSE";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"191 - Multas administrativas, contratuais e judiciais";"19110901 - MULTAS E JUROS PREVISTOS EM CONTRATOS-PRINC.";"0,00";"5,08";"0,00%";"0,00";
"2022";"26000 - Ministério da Educação";"26433 - Instituto Federal do Rio de Janeiro";"158157 - REITORIA";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"199 - Demais receitas correntes";"19999921 - OUTRAS REC.N.ARREC.N.PROJ.RFB-PRIM.-PRINC.";"0,00";"0,00";"0,00%";"0,00";
"2022";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170013 - SETORIAL ORCAMENTARIA E FINANCEIRA-MF";"1 - Receitas Correntes";"11 - Impostos, Taxas e Contribuições de Melhoria";"111 - Impostos";"11120118 - ITR-MUNICIPIOS CONVENIADOS-DIV.AT.-JUROS";"19.146.007,00";"0,00";"0,00%";"0,00";
"2022";"26000 - Ministério da Educação";"26252 - Universidade Federal de Campina Grande";"158195 - UNIVERSIDADE FEDERAL DE CAMPINA GRANDE";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"191 - Multas administrativas, contratuais e judiciais";"19110101 - MULTAS PREVISTAS EM LEGISL.ESPECIFICA-PRINC.";"0,00";"2.321,97";"0,00%";"0,00";
"2022";"26000 - Ministério da Educação";"26248 - Universidade Federal Rural de Pernambuco";"153165 - UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO";"1 - Receitas Correntes";"17 - Transferências Correntes";"172 - Transferências dos Estados e do Distrito Federal e de suas Entidades";"17240101 - TRANSF.REC.ORG.UNIAO CONV.EST/DF/ENT.-PRINC.";"0,00";"- 18.084,00";"0,00%";"0,00";
"2022";"44000 - Ministério do Meio Ambiente e Mudança do Clima";"44207 - Instituto Chico Mendes de Conservação da Biodiversidade";"443032 - INST.CHICO MENDES DE CONSER.DA BIODIVERSIDADE";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"199 - Demais receitas correntes";"19999922 - OUTRAS REC.N.ARREC.N.PROJ.RFB-PRIM.-MUL.JUR.";"0,00";"53.193,03";"0,00%";"0,00";
"2022";"26000 - Ministério da Educação";"26416 - Instituto Federal do Pará";"158135 - INST.FED.DE EDUC.,CIENC.E TEC.DO PARA";"1 - Receitas Correntes";"17 - Transferências Correntes";"172 - Transferências dos Estados e do Distrito Federal e de suas Entidades";"17240101 - TRANSF.REC.ORG.UNIAO CONV.EST/DF/ENT.-PRINC.";"0,00";"- 1.702,92";"0,00%";"0,00";
"2022";"26000 - Ministério da Educação";"26281 - Fundação Universidade Federal de Sergipe";"154050 - FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE";"1 - Receitas Correntes";"13 - Receita Patrimonial";"132 - Valores Mobiliários";"13220101 - DIVIDENDOS-PRINCIPAL";"0,00";"0,00";"0,00%";"0,00";
