"Mês Ano";"Programa Orçamentário";"Ação Orçamentária";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"01/2023";"6012 - DEFESA NACIONAL";"211D - COORDENACAO TECNICA DA AMAZONIA AZUL TECNOLOGIAS DE DEFESA SA - AMAZUL";"108.600,00";"1.248,29";"1.248,29";
"01/2023";"0032 - PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO";"20XS - PRESTACAO DE ENSINO ASSISTENCIAL NA FUNDACAO OSORIO";"676.669,44";"0,00";"0,00";
"01/2023";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0045 - TRANSFERENCIA AO FUNDO DE PARTICIPACAO DOS MUNICIPIOS - FPM (CF, ART.159)";"148.955.141.146,00";"6.693.567.645,38";"6.693.567.645,38";
"01/2023";"5020 - DESENVOLVIMENTO CIENTIFICO, TECNOLOGICO E PRODUTIVO EM SAUDE";"20K1 - ADEQUACAO DE PLATAFORMAS PARA O DESENVOLVIMENTO TECNOLOGICO EM SAUDE";"0,00";"0,00";"0,00";
"01/2023";"3004 - AVIACAO CIVIL";"15UX - REFORMA E REAPARELHAMENTO DO AEROPORTO DE COARI/AM, DE PROPRIEDADE DA UNIAO";"0,00";"0,00";"0,00";
"01/2023";"4001 - COMUNICACAO PUBLICA E DIVULGACAO DE ATOS E MATERIAS DO GOVERNO FEDERAL";"2804 - PUBLICACOES OFICIAIS";"212.061,63";"66.510,85";"66.418,47";
"01/2023";"2217 - DESENVOLVIMENTO REGIONAL, TERRITORIAL E URBANO";"1O21 - IMPLANTACAO DO PROJETO PUBLICO DE IRRIGACAO TABULEIROS LITORANEOS DE PARNAIBA - 2. ETAPA - COM 5.985 HA";"0,00";"0,00";"0,00";
"01/2023";"5013 - EDUCACAO SUPERIOR - GRADUACAO, POS-GRADUACAO, ENSINO, PESQUISA E EXTENSAO";"00QC - CONCESSAO DE BOLSAS PARA SUPERVISAO DO PROGRAMA MAIS MEDICOS";"330.000,00";"330.000,00";"0,00";
"01/2023";"2208 - TECNOLOGIAS APLICADAS, INOVACAO E DESENVOLVIMENTO SUSTENTAVEL";"0745 - INVESTIMENTO EM EMPRESAS INOVADORAS";"1.654.804,17";"1.654.804,17";"1.654.804,17";
"01/2023";"2208 - TECNOLOGIAS APLICADAS, INOVACAO E DESENVOLVIMENTO SUSTENTAVEL";"4156 - FOMENTO A PROJETOS INSTITUCIONAIS PARA PESQUISA NO SETOR DE PETROLEO E GAS NATURAL (CT-PETRO)";"189.060,67";"189.060,67";"189.060,67";
"01/2023";"2217 - DESENVOLVIMENTO REGIONAL, TERRITORIAL E URBANO";"21DJ - ESTUDOS E PROJETOS PARA IMPLANTACAO DE PROJETOS PUBLICOS DE IRRIGACAO";"0,00";"0,00";"0,00";
"01/2023";"4001 - COMUNICACAO PUBLICA E DIVULGACAO DE ATOS E MATERIAS DO GOVERNO FEDERAL";"212H - MANUTENCAO DE CONTRATO DE GESTAO COM ORGANIZACOES SOCIAIS (LEI N. 9.637, DE 15 DE MAIO DE 1998)";"0,00";"0,00";"0,00";
"01/2023";"0909 - OPERACOES ESPECIAIS: OUTROS ENCARGOS ESPECIAIS";"0605 - RESSARCIMENTO AO GESTOR DO FUNDO NACIONAL DE DESESTATIZACAO (LEI N. 9.491, DE 1997)";"0,00";"0,00";"0,00";
